x,y
0.166667,0.646084
0.166667,1.41421
0.166667,3.09557
0.166667,-3.09468
0.166667,-1.42525
0.166667,-0.625768
0.166667,0.625768
0.166667,1.42525
0.166667,3.09468
0.166667,-3.09379
0.166667,-1.43589
0.166667,-0.605536
0.166667,0.605536
0.166667,1.43589
0.166667,3.09379
0.166667,-3.09234
0.166667,-1.45234
0.166667,-0.572806
0.166667,0.572806
0.166667,1.45234
0.166667,3.09234
0.166667,-3.09145
0.166667,-1.4621
0.166667,-0.552481
0.166667,0.552481
0.166667,1.4621
0.166667,3.09145
0.166667,-3.08908
0.166667,-1.48634
0.166667,-0.498374
0.166667,0.498374
0.166667,1.48634
0.166667,3.08908
0.166667,-3.08943
0.166667,-1.48291
0.166667,-0.506382
0.166667,0.506382
0.166667,1.48291
0.166667,3.08943
0.166667,-3.08852
0.166667,-1.49182
0.166667,-0.485309
0.166667,0.485309
0.166667,1.49182
0.166667,3.08852
0.166667,-3.08613
0.166667,-1.51414
0.166667,-0.428007
0.166667,0.428007
0.166667,1.51414
0.166667,3.08613
0.166667,-3.08315
0.166667,-1.53999
0.166667,-0.350147
0.166667,0.350147
0.166667,1.53999
0.166667,3.08315
0.166667,-3.08704
0.166667,-1.50577
0.166667,-0.450331
0.166667,0.450331
0.166667,1.50577
0.166667,3.08704
0.166667,-3.08613
0.166667,-1.51414
0.166667,-0.428007
0.166667,0.428007
0.166667,1.51414
0.166667,3.08613
0.166667,-3.08372
0.166667,-1.53519
0.166667,-0.365868
0.166667,0.365868
0.166667,1.53519
0.166667,3.08372
0.166667,-3.08072
0.166667,-1.55974
0.166667,-0.2764
0.166667,0.2764
0.166667,1.55974
0.166667,3.08072
0.166667,-3.07827
0.166667,-1.57858
0.166667,-0.179868
0.166667,0.179868
0.166667,1.57858
0.166667,3.07827
0.166667,-3.08613
0.166667,-1.51414
0.166667,-0.428007
0.166667,0.428007
0.166667,1.51414
0.166667,3.08613
0.166667,-3.08521
0.166667,-1.52232
0.166667,-0.404992
0.166667,0.404992
0.166667,1.52232
0.166667,3.08521
0.166667,-3.0828
0.166667,-1.54293
0.166667,-0.340169
0.166667,0.340169
0.166667,1.54293
0.166667,3.0828
0.166667,-3.07978
0.166667,-1.56703
0.166667,-0.243585
0.166667,0.243585
0.166667,1.56703
0.166667,3.07978
0.166667,-3.07732
0.166667,-1.58557
0.166667,-0.126664
0.166667,0.126664
0.166667,1.58557
0.166667,3.07732
0.166667,-3.07638
0.166667,-1.59245
0.166667,-7.17959e-09
0.166667,1.7949e-09
0.166667,1.59245
0.166667,3.07638
0.833333,-3.09557
0.833333,-1.41421
0.833333,-0.646084
0.833333,0.646084
0.833333,1.41421
0.833333,3.09557
0.833333,-3.09468
0.833333,-1.42525
0.833333,-0.625768
0.833333,0.625768
0.833333,1.42525
0.833333,3.09468
0.833333,-3.09379
0.833333,-1.43589
0.833333,-0.605536
0.833333,0.605536
0.833333,1.43589
0.833333,3.09379
0.833333,-3.09234
0.833333,-1.45234
0.833333,-0.572806
0.833333,0.572806
0.833333,1.45234
0.833333,3.09234
0.833333,-3.09145
0.833333,-1.4621
0.833333,-0.552481
0.833333,0.552481
0.833333,1.4621
0.833333,3.09145
0.833333,-3.08908
0.833333,-1.48634
0.833333,-0.498374
0.833333,0.498374
0.833333,1.48634
0.833333,3.08908
0.833333,-3.08943
0.833333,-1.48291
0.833333,-0.506382
0.833333,0.506382
0.833333,1.48291
0.833333,3.08943
0.833333,-3.08852
0.833333,-1.49182
0.833333,-0.485309
0.833333,0.485309
0.833333,1.49182
0.833333,3.08852
0.833333,-3.08613
0.833333,-1.51414
0.833333,-0.428007
0.833333,0.428007
0.833333,1.51414
0.833333,3.08613
0.833333,-3.08315
0.833333,-1.53999
0.833333,-0.350147
0.833333,0.350147
0.833333,1.53999
0.833333,3.08315
0.833333,-3.08704
0.833333,-1.50577
0.833333,-0.450331
0.833333,0.450331
0.833333,1.50577
0.833333,3.08704
0.833333,-3.08613
0.833333,-1.51414
0.833333,-0.428007
0.833333,0.428007
0.833333,1.51414
0.833333,3.08613
0.833333,-3.08372
0.833333,-1.53519
0.833333,-0.365868
0.833333,0.365868
0.833333,1.53519
0.833333,3.08372
0.833333,-3.08072
0.833333,-1.55974
0.833333,-0.2764
0.833333,0.2764
0.833333,1.55974
0.833333,3.08072
0.833333,-3.07827
0.833333,-1.57858
0.833333,-0.179868
0.833333,0.179868
0.833333,1.57858
0.833333,3.07827
0.833333,-3.08613
0.833333,-1.51414
0.833333,-0.428007
0.833333,0.428007
0.833333,1.51414
0.833333,3.08613
0.833333,-3.08521
0.833333,-1.52232
0.833333,-0.404992
0.833333,0.404992
0.833333,1.52232
0.833333,3.08521
0.833333,-3.0828
0.833333,-1.54293
0.833333,-0.340169
0.833333,0.340169
0.833333,1.54293
0.833333,3.0828
0.833333,-3.07978
0.833333,-1.56703
0.833333,-0.243585
0.833333,0.243585
0.833333,1.56703
0.833333,3.07978
0.833333,-3.07732
0.833333,-1.58557
0.833333,-0.126664
0.833333,0.126664
0.833333,1.58557
0.833333,3.07732
0.833333,-3.07638
0.833333,-1.59245
0.833333,-1.29105e-08
0.833333,3.08595e-08
0.833333,1.59245
0.833333,3.07638
0.142857,-3.19758
0.142857,-1.82022
0.142857,-0.554958
0.142857,-0.253448
0.142857,0.870364
0.142857,1.75254
0.142857,3.2033
0.142857,-3.19786
0.142857,-1.81731
0.142857,-0.58285
0.142857,-0.220879
0.142857,0.859703
0.142857,1.75616
0.142857,3.20303
0.142857,-3.19813
0.142857,-1.81437
0.142857,-0.606755
0.142857,-0.192116
0.142857,0.848881
0.142857,1.75973
0.142857,3.20276
0.142857,-3.19858
0.142857,-1.80956
0.142857,-0.640194
0.142857,-0.150393
0.142857,0.830986
0.142857,1.76542
0.142857,3.20232
0.142857,-3.19885
0.142857,-1.80655
0.142857,-0.658635
0.142857,-0.126543
0.142857,0.819656
0.142857,1.76887
0.142857,3.20205
0.142857,-3.19957
0.142857,-1.79853
0.142857,-0.701592
0.142857,-0.068198
0.142857,0.788822
0.142857,1.77773
0.142857,3.20134
0.142857,-3.19947
0.142857,-1.79971
0.142857,-0.695708
0.142857,-0.0764497
0.142857,0.793439
0.142857,1.77645
0.142857,3.20144
0.142857,-3.19974
0.142857,-1.79661
0.142857,-0.710886
0.142857,-0.0549749
0.142857,0.781254
0.142857,1.77978
0.142857,3.20117
0.142857,-3.20046
0.142857,-1.78831
0.142857,-0.747668
0.142857,-6.95869e-11
0.142857,0.747668
0.142857,1.78831
0.142857,3.20046
0.142857,-3.20134
0.142857,-1.77773
0.142857,-0.788822
0.142857,0.068198
0.142857,0.701592
0.142857,1.79853
0.142857,3.19957
0.142857,-3.20018
0.142857,-1.79151
0.142857,-0.734059
0.142857,-0.0208791
0.142857,0.760816
0.142857,1.78508
0.142857,3.20073
0.142857,-3.20046
0.142857,-1.78831
0.142857,-0.747668
0.142857,-1.20841e-09
0.142857,0.747668
0.142857,1.78831
0.142857,3.20046
0.142857,-3.20117
0.142857,-1.77978
0.142857,-0.781254
0.142857,0.0549749
0.142857,0.710886
0.142857,1.79661
0.142857,3.19974
0.142857,-3.20205
0.142857,-1.76887
0.142857,-0.819656
0.142857,0.126543
0.142857,0.658635
0.142857,1.80655
0.142857,3.19885
0.142857,-3.20276
0.142857,-1.75973
0.142857,-0.848881
0.142857,0.192116
0.142857,0.606755
0.142857,1.81437
0.142857,3.19813
0.142857,-3.20046
0.142857,-1.78831
0.142857,-0.747668
0.142857,-2.87144e-09
0.142857,0.747668
0.142857,1.78831
0.142857,3.20046
0.142857,-3.20073
0.142857,-1.78508
0.142857,-0.760816
0.142857,0.0208791
0.142857,0.734059
0.142857,1.79151
0.142857,3.20018
0.142857,-3.20144
0.142857,-1.77645
0.142857,-0.793439
0.142857,0.0764497
0.142857,0.695708
0.142857,1.79971
0.142857,3.19947
0.142857,-3.20232
0.142857,-1.76542
0.142857,-0.830986
0.142857,0.150393
0.142857,0.640194
0.142857,1.80956
0.142857,3.19858
0.142857,-3.20303
0.142857,-1.75616
0.142857,-0.859703
0.142857,0.220879
0.142857,0.58285
0.142857,1.81731
0.142857,3.19786
0.142857,-3.2033
0.142857,-1.75254
0.142857,-0.870364
0.142857,0.253448
0.142857,0.554958
0.142857,1.82022
0.142857,3.19758
0.285714,-2.61289
0.285714,-2.59264
0.285714,-0.583184
0.285714,-0.189047
0.285714,0.801938
0.285714,2.45095
0.285714,2.72487
0.285714,-2.69161
0.285714,-2.4994
0.285714,-0.712935
0.285714,-3.71094e-09
0.285714,0.712935
